Date,Open,High,Low,Close,Volume
11/11/2024,"178.58","180.55","178.47","180.35","17,450,350"
11/08/2024,"180.65","180.90","178.08","178.35","22,006,180"
11/07/2024,"177.41","181.08","177.19","180.75","25,352,939"
11/06/2024,"173.80","176.94","173.50","176.51","33,695,539"
11/05/2024,"169.43","170.53","168.84","169.74","18,242,051"
11/04/2024,"169.93","170.73","168.01","169.24","21,492,740"
11/01/2024,"170.07","172.32","168.88","171.29","31,796,480"
10/31/2024,"173.13","176.82","171.00","171.11","44,768,980"
10/30/2024,"180.68","182.02","174.06","174.46","68,890,789"
10/29/2024,"167.73","170.38","167.09","169.68","42,169,031"
10/28/2024,"168.75","168.75","163.95","166.72","32,138,641"
10/25/2024,"163.67","165.59","163.42","165.27","19,828,881"
10/24/2024,"162.83","163.33","161.01","162.72","22,412,529"
10/23/2024,"164.76","165.82","161.93","162.78","18,280,520"
10/22/2024,"162.98","165.77","162.98","165.14","16,568,119"
10/21/2024,"162.95","164.50","162.62","164.07","20,946,461"
10/18/2024,"163.19","164.71","163.08","163.42","19,757,660"
10/17/2024,"165.73","166.37","162.76","162.93","21,453,400"
10/16/2024,"164.53","165.80","163.74","165.16","16,406,029"
10/15/2024,"165.79","167.68","164.63","165.46","20,247,199"
10/14/2024,"163.64","166.23","163.40","164.96","19,016,141"
10/11/2024,"162.13","163.90","161.24","163.24","15,344,250"
10/10/2024,"160.87","163.07","160.40","162.08","14,144,070"
10/09/2024,"163.45","164.84","159.74","161.86","31,181,770"
10/08/2024,"163.94","164.73","162.87","164.38","23,072,730"
10/07/2024,"167.72","168.48","162.75","162.98","22,463,141"
10/04/2024,"168.06","168.23","165.48","167.06","19,093,721"
10/03/2024,"164.41","166.64","163.92","165.86","15,073,100"
10/02/2024,"166.42","167.52","164.73","165.86","17,760,180"
10/01/2024,"167.69","169.16","164.58","166.99","28,338,119"
09/30/2024,"163.32","166.15","163.26","165.85","20,481,301"
09/27/2024,"162.81","165.70","162.63","163.95","21,101,311"
09/26/2024,"163.64","164.08","162.28","162.73","20,319,340"
09/25/2024,"161.47","162.81","161.30","161.49","18,869,199"
09/24/2024,"163.03","163.22","160.69","162.29","23,332,150"
09/23/2024,"164.35","165.49","161.67","161.85","24,150,850"
09/20/2024,"163.50","163.73","162.06","163.59","40,896,441"
09/19/2024,"163.71","163.79","161.34","162.14","26,587,730"
09/18/2024,"159.86","160.50","158.60","159.81","23,677,320"
09/17/2024,"159.02","160.55","158.38","159.32","20,715,609"
09/16/2024,"157.31","158.25","156.60","158.06","18,379,779"
09/13/2024,"155.43","158.38","155.21","157.46","29,591,150"
09/12/2024,"153.80","154.82","152.65","154.69","29,695,051"
09/11/2024,"149.92","151.50","147.52","151.16","29,607,689"
09/10/2024,"150.45","151.27","148.34","148.66","31,118,770"
09/09/2024,"152.51","153.40","147.22","148.71","39,260,449"
09/06/2024,"157.30","157.83","150.55","150.92","37,912,129"
09/05/2024,"156.30","159.45","155.98","157.24","18,688,750"
09/04/2024,"156.66","159.00","155.96","156.45","19,353,760"
09/03/2024,"161.72","161.85","156.48","157.36","38,925,500"
08/30/2024,"162.62","163.66","161.69","163.38","22,123,811"
08/29/2024,"164.31","165.97","160.25","161.78","19,699,770"
08/28/2024,"165.04","165.60","161.53","162.85","16,407,439"
08/27/2024,"165.84","166.44","164.46","164.68","11,821,940"
08/26/2024,"166.38","167.55","164.46","166.16","14,190,420"
08/23/2024,"164.72","166.18","163.83","165.62","13,955,740"
08/22/2024,"167.26","167.59","163.31","163.80","22,493,279"
08/21/2024,"165.15","166.85","164.67","165.85","22,902,000"
08/20/2024,"166.90","168.64","166.82","167.18","18,341,529"
08/19/2024,"165.28","166.69","164.26","166.67","22,416,189"
08/16/2024,"161.47","165.06","161.13","162.96","24,208,650"
08/15/2024,"160.50","161.64","159.61","161.30","31,524,250"
08/14/2024,"162.40","163.22","157.71","160.37","40,591,129"
08/13/2024,"163.41","164.73","162.97","164.16","18,551,689"
08/12/2024,"164.35","164.90","161.84","162.29","15,895,290"
08/09/2024,"160.01","163.79","159.06","163.67","28,602,289"
08/08/2024,"160.51","163.69","160.21","162.03","25,578,840"
08/07/2024,"161.25","162.98","158.47","158.94","25,138,570"
08/06/2024,"159.33","160.57","156.41","158.29","49,004,559"
08/05/2024,"155.50","164.43","154.93","159.25","53,630,672"
08/02/2024,"166.44","168.51","164.67","166.66","29,130,100"
08/01/2024,"170.25","174.05","168.88","170.76","24,531,391"
07/31/2024,"173.24","174.25","170.01","171.54","25,729,090"
07/30/2024,"170.24","171.23","168.44","170.29","18,959,689"
07/29/2024,"168.83","170.43","167.99","169.53","20,293,820"
07/26/2024,"167.15","168.09","164.06","167.00","41,336,887"
07/25/2024,"172.52","173.42","167.19","167.28","44,851,969"
07/24/2024,"173.60","176.19","171.82","172.63","49,585,199"
07/23/2024,"182.05","183.61","181.54","181.79","36,352,711"
07/22/2024,"180.59","182.70","180.23","181.67","24,100,350"
07/19/2024,"178.88","180.29","177.13","177.66","18,881,891"
07/18/2024,"181.93","182.50","176.47","177.69","25,315,730"
07/17/2024,"182.97","183.55","179.90","181.02","20,734,070"
07/16/2024,"187.36","188.68","183.37","183.92","18,290,721"
07/15/2024,"184.92","188.24","184.92","186.53","16,474,039"
07/12/2024,"185.08","187.11","184.49","185.07","22,898,410"
07/11/2024,"189.85","190.86","185.08","185.57","25,625,779"
07/10/2024,"189.15","191.75","189.03","191.18","15,952,450"
07/09/2024,"190.31","191.36","188.72","188.98","15,141,310"
